kepid,ra,dec,teff,teff_err_high,teff_err_low,logg,logg_err_high,logg_err_low,kepmag,Q4,Q8,Q11,Q16
757099,19 24 10.334,+36 35 37.72,5519,182,-149,3.822,0.638,-0.213,13.152,-1,-1,-1,-1
757450,19 24 33.024,+36 34 38.57,5332,106,-96,4.5,0.05,-0.036,15.264,0,1,-1,0
892376,19 24 15.329,+36 38 08.92,3973,124,-152,4.656,0.063,-0.022,13.96,-1,-1,-1,-1
893507,19 25 15.007,+36 37 59.62,5382,177,-144,3.917,0.672,-0.288,12.517,-1,1,-1,-1
893647,19 25 21.108,+36 41 24.86,4856,146,-131,4.583,0.06,-0.035,15.279,-1,1,-1,-1
1025986,19 24 08.086,+36 46 15.75,5604,84,-67,4.226,0.208,-0.112,10.15,-1,1,1,-1
1026032,19 24 10.577,+36 43 45.38,5951,160,-178,4.638,0.032,-0.128,14.813,-1,-1,-1,-1
1026474,19 24 35.786,+36 43 25.75,4276,150,-165,4.599,0.052,-0.017,15.278,1,-1,-1,-1
1026861,19 24 56.220,+36 43 44.62,7063,74,-95,4.044,0.138,-0.113,11.001,0,-1,-1,-1
1026957,19 25 01.078,+36 44 37.00,4859,97,-97,4.612,0.015,-0.045,12.559,0,0,0,-1
1028018,19 25 53.114,+36 47 59.42,5543,83,-66,4.129,0.224,-0.112,12.646,1,-1,-1,-1
1028640,19 26 23.306,+36 47 18.63,6315,76,-76,4.315,0.08,-0.12,13.369,0,0,0,-1
1161345,19 24 11.712,+36 50 23.58,5296,105,-105,4.576,0.015,-0.085,11.631,-1,-1,-1,-1
1161402,19 24 15.571,+36 48 33.99,6569,166,-182,3.911,0.292,-0.117,12.35,0,0,0,-1
1163579,19 26 11.148,+36 51 19.69,5721,76,-85,4.445,0.072,-0.108,13.208,1,0,0,-1
1164071,19 26 34.716,+36 48 05.54,4701,128,-142,4.599,0.048,-0.032,15.797,0,0,-1,0
1293587,19 24 40.217,+36 59 05.38,4914,148,-133,4.555,0.072,-0.039,14.882,0,-1,0,0
1293835,19 24 52.889,+36 56 08.08,3675,85,-95,0.597,0.03,-0.03,13.344,-1,-1,-1,-1
1294756,19 25 41.345,+36 58 16.65,8615,238,-374,3.784,0.405,-0.135,9.073,0,-1,1,1
1294953,19 25 52.061,+36 54 50.64,5364,186,-186,4.484,0.088,-0.143,12.494,1,-1,-1,-1
1295195,19 26 03.384,+36 58 06.30,4903,148,-133,4.576,0.045,-0.045,13.81,0,1,0,-1
1429977,19 23 22.836,+37 04 03.90,5411,81,-81,4.444,0.1,-0.1,15.121,0,-1,0,0
1430199,19 23 36.094,+37 01 02.05,3753,84,-103,0.774,0.03,-0.03,12.603,0,-1,0,1
1430227,19 23 37.697,+37 05 47.83,5868,79,-79,4.256,0.149,-0.108,14.536,0,0,-1,0
1430333,19 23 44.568,+37 04 36.22,5970,77,-83,4.333,0.099,-0.121,13.622,0,0,-1,0
1432214,19 25 31.846,+37 04 22.76,6018,72,-90,4.327,0.08,-0.12,15.661,-1,0,-1,-1
1432745,19 25 57.158,+37 04 23.12,4450,79,-88,4.662,0.009,-0.048,13.208,0,-1,-1,1
1433477,19 26 36.554,+37 01 20.98,3775,84,-103,0.874,0.03,-0.03,13.927,1,-1,1,-1
1434277,19 27 18.487,+37 04 50.67,5750,78,-86,4.499,0.024,-0.128,11.201,0,0,1,-1
1434591,19 27 36.804,+37 05 29.58,3665,66,-66,0.694,0.132,-0.096,11.459,-1,-1,-1,-1
1569822,19 22 27.869,+37 08 15.22,3291,107,-88,0.169,0.216,-0.054,10.936,-1,-1,-1,-1
1570349,19 22 55.834,+37 06 28.94,5883,79,-79,4.293,0.132,-0.108,14.184,0,0,1,-1
1570924,19 23 27.262,+37 07 33.75,4961,136,-136,4.543,0.072,-0.044,12.944,-1,-1,-1,-1
