,PCA90_times,PCA95_times,PCA99_times
Q1,0:00:10.800959,0:00:15.733025,0:00:31.469359
Q2,0:00:15.636804,0:00:23.474980,0:00:40.848296
Q3,0:00:17.268312,0:00:23.718734,0:00:40.539367
Q4,0:00:16.412181,0:00:26.082970,0:00:43.468744
Q5,0:00:15.084672,0:00:23.907383,0:00:43.325367
Q6,0:00:15.155965,0:00:19.125999,0:00:30.751354
Q7,0:00:14.579648,0:00:20.126913,0:00:33.302158
Q8,0:00:14.638839,0:00:23.367365,0:00:39.939548
Q9,0:00:13.007518,0:00:18.856272,0:00:33.763662
Q10,0:00:13.070692,0:00:20.757123,0:00:35.445522
Q11,0:00:11.410296,0:00:15.350620,0:00:29.319100
Q12,0:00:13.619598,0:00:20.606698,0:00:34.838482
Q13,0:00:12.983753,0:00:20.923553,0:00:37.491560
Q14,0:00:12.869900,0:00:21.415612,0:00:36.214670
Q15,0:00:12.776386,0:00:20.199504,0:00:33.969706
Q16,0:00:12.131277,0:00:20.885750,0:00:34.578915
Q17,0:00:12.627555,0:00:18.433798,0:00:26.594540
